texto,M,hash_name,n,alpha,max_bucket,avg_bucket,total_comp_success,avg_comp_success,total_comp_fail,avg_comp_fail
tale.txt,0,LinearBaseline,9937,0,0,0,49376953,4969.0,98743969,9937.0
tale.txt,97,H1_SumASCII,9937,102.4433,160,102.4433,544766,54.822,1015768,102.2208
tale.txt,97,H2_WeightedSum,9937,102.4433,123,102.4433,518748,52.2037,1018211,102.4666
tale.txt,97,H3_Horner31,9937,102.4433,121,102.4433,519072,52.2363,1018265,102.4721
tale.txt,97,H4_XORShift,9937,102.4433,128,102.4433,517835,52.1118,1018570,102.5028
tale.txt,97,H_BadPrefix,9937,102.4433,1212,102.4433,3019037,303.8178,5444796,547.9316
tale.txt,100,H1_SumASCII,9937,99.37,187,99.37,591970,59.5723,866636,87.213
tale.txt,100,H2_WeightedSum,9937,99.37,118,99.37,503073,50.6262,987466,99.3726
tale.txt,100,H3_Horner31,9937,99.37,122,99.37,504324,50.7521,986491,99.2745
tale.txt,100,H4_XORShift,9937,99.37,132,99.37,503622,50.6815,987700,99.3962
tale.txt,100,H_BadPrefix,9937,99.37,1212,99.37,3019037,303.8178,5444796,547.9316
tale.txt,997,H1_SumASCII,9937,9.9669,48,9.9669,108732,10.9421,69145,6.9583
tale.txt,997,H2_WeightedSum,9937,9.9669,30,9.9669,73358,7.3823,90405,9.0978
tale.txt,997,H3_Horner31,9937,9.9669,21,9.9669,59960,6.034,99343,9.9973
tale.txt,997,H4_XORShift,9937,9.9669,23,9.9669,59538,5.9915,99532,10.0163
tale.txt,997,H_BadPrefix,9937,9.9669,1212,9.9669,3019037,303.8178,5444796,547.9316
quincas_borba.txt,0,LinearBaseline,10943,0,0,0,59880096,5472.0,119749249,10943.0
quincas_borba.txt,97,H1_SumASCII,10943,112.8144,169,112.8144,673528,61.5488,1230193,112.4183
quincas_borba.txt,97,H2_WeightedSum,10943,112.8144,156,112.8144,629881,57.5602,1232460,112.6254
quincas_borba.txt,97,H3_Horner31,10943,112.8144,145,112.8144,628534,57.4371,1233608,112.7303
quincas_borba.txt,97,H4_XORShift,10943,112.8144,140,112.8144,628480,57.4321,1235658,112.9177
quincas_borba.txt,97,H_BadPrefix,10943,112.8144,1442,112.8144,4298174,392.7784,7054794,644.6856
quincas_borba.txt,100,H1_SumASCII,10943,109.43,194,109.43,737238,67.3707,1025207,93.6861
quincas_borba.txt,100,H2_WeightedSum,10943,109.43,147,109.43,610295,55.7704,1197788,109.457
quincas_borba.txt,100,H3_Horner31,10943,109.43,138,109.43,608536,55.6096,1197136,109.3974
quincas_borba.txt,100,H4_XORShift,10943,109.43,132,109.43,608650,55.62,1198917,109.5602
quincas_borba.txt,100,H_BadPrefix,10943,109.43,1442,109.43,4298174,392.7784,7054794,644.6856
quincas_borba.txt,997,H1_SumASCII,10943,10.9759,51,10.9759,125418,11.461,83533,7.6335
quincas_borba.txt,997,H2_WeightedSum,10943,10.9759,30,10.9759,85570,7.8196,102876,9.4011
quincas_borba.txt,997,H3_Horner31,10943,10.9759,24,10.9759,70660,6.4571,119866,10.9537
quincas_borba.txt,997,H4_XORShift,10943,10.9759,26,10.9759,70425,6.4356,119777,10.9455
quincas_borba.txt,997,H_BadPrefix,10943,10.9759,1442,10.9759,4298174,392.7784,7054794,644.6856
